id:ID,name,type:LABEL
P39748,Flap endonuclease 1,Protein
P39877,Phospholipase A2 group V,Protein
228980,"Fleck retina, familial benign",Disease
P39880,Homeobox protein cut-like 1 [Cleaved into: CDP/Cux p110],Protein
618330,Global developmental delay with or without impaired intellectual development,Disease
P39900,Macrophage metalloelastase,Protein
DB00551,Acetohydroxamic acid,Drug
P39905,Glial cell line-derived neurotrophic factor,Protein
613711,Hirschsprung disease 3,Disease
P40121,Macrophage-capping protein,Protein
P40123,Adenylyl cyclase-associated protein 2,Protein
620462,"Cardiomyopathy, dilated, 2I",Disease
P40126,L-dopachrome tautomerase,Protein
619165,"Albinism, oculocutaneous, 8",Disease
P40145,Adenylate cyclase type 8/calmodulin-activated adenylyl cyclase),Protein
P40189,Interleukin-6 receptor subunit beta,Protein
619752,"Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections",Disease
618523,"Hyper-IgE syndrome 4B, autosomal recessive, with recurrent infections",Disease
619751,Stuve-Wiedemann syndrome 2,Disease
619750,Immunodeficiency 94 with autoinflammation and dysmorphic facies,Disease
P40197,Platelet glycoprotein V,Protein
P40198,Cell adhesion molecule CEACAM3,Protein
P40199,Cell adhesion molecule CEACAM6,Protein
P40200,T-cell surface protein tactile,Protein
211750,C syndrome,Disease
P40222,Alpha-taxilin,Protein
P40225,Thrombopoietin,Protein
187950,Thrombocythemia 1,Disease
620481,"Amegakaryocytic thrombocytopenia, congenital, 2",Disease
620478,Thrombocytopenia 9,Disease
P40227,T-complex protein 1 subunit zeta,Protein
P40238,Thrombopoietin receptor,Protein
604498,"Amegakaryocytic thrombocytopenia, congenital, 1",Disease
601977,Thrombocythemia 2,Disease
DB05332,Romiplostim,Drug
P40259,B-cell antigen receptor complex-associated protein beta chain,Protein
612692,"Agammaglobulinemia 6, autosomal recessive",Disease
P40261,Nicotinamide N-methyltransferase,Protein
P40305,"Interferon alpha-inducible protein 27, mitochondrial)",Protein
P40306,Proteasome subunit beta type-10,Protein
619175,Proteasome-associated autoinflammatory syndrome 5,Disease
P40337,von Hippel-Lindau disease tumor suppressor,Protein
193300,von Hippel-Lindau disease,Disease
263400,"Erythrocytosis, familial, 2",Disease
P40394,All-trans-retinol dehydrogenase [NAD] ADH7,Protein
P40424,Pre-B-cell leukemia transcription factor 1,Protein
617641,"Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay",Disease
P40425,Pre-B-cell leukemia transcription factor 2,Protein
P40426,Pre-B-cell leukemia transcription factor 3,Protein
P40429,Large ribosomal subunit protein uL13,Protein
P40616,ADP-ribosylation factor-like protein 1,Protein
P40617,ADP-ribosylation factor-like protein 4A,Protein
P40692,DNA mismatch repair protein Mlh1,Protein
609310,Lynch syndrome 2,Disease
276300,Mismatch repair cancer syndrome 1,Disease
158320,Muir-Torre syndrome,Disease
P40763,Signal transducer and activator of transcription 3,Protein
147060,"Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections",Disease
615952,"Autoimmune disease, multisystem, infantile-onset, 1",Disease
DB16630,OPB-111077,Drug
P40818,Ubiquitin carboxyl-terminal hydrolase 8,Protein
219090,"Pituitary adenoma 4, ACTH-secreting",Disease
P40855,Peroxisomal biogenesis factor 19,Protein
614886,Peroxisome biogenesis disorder complementation group 14,Disease
P40879,Chloride anion exchanger,Protein
214700,"Diarrhea 1, secretory chloride, congenital",Disease
P40925,"Malate dehydrogenase, cytoplasmic",Protein
618959,Developmental and epileptic encephalopathy 88,Disease
P40926,"Malate dehydrogenase, mitochondrial",Protein
617339,Developmental and epileptic encephalopathy 51,Disease
P40933,Interleukin-15,Protein
P40937,Replication factor C subunit 5,Protein
P40938,Replication factor C subunit 3,Protein
P40939,"Trifunctional enzyme subunit alpha, mitochondrial [Includes: Long-chain enoyl-CoA hydratase; Long chain 3-hydroxyacyl-CoA dehydrogenase]",Protein
609015,Mitochondrial trifunctional protein deficiency 1,Disease
609016,Long-chain 3-hydroxyl-CoA dehydrogenase deficiency,Disease
P40967,Melanocyte protein PMEL [Cleaved into: M-alpha; M-beta],Protein
DB15283,Tebentafusp,Drug
P41002,Cyclin-F,Protein
619141,Frontotemporal dementia and/or amyotrophic lateral sclerosis 5,Disease
P41091,Eukaryotic translation initiation factor 2 subunit 3,Protein
300148,MEHMO syndrome,Disease
P41134,DNA-binding protein inhibitor ID-1,Protein
P41143,Delta-type opioid receptor,Protein
P41145,Kappa-type opioid receptor,Protein
DB11938,Difelikefalin,Drug
P41146,Nociceptin receptor,Protein
P41159,Leptin,Protein
614962,Leptin deficiency,Disease
P41161,ETS translocation variant 5,Protein
P41162,ETS translocation variant 3,Protein
P41180,Extracellular calcium-sensing receptor,Protein
145980,"Hypocalciuric hypercalcemia, familial 1",Disease
239200,"Hyperparathyroidism, neonatal severe",Disease
601198,"Hypocalcemia, autosomal dominant 1",Disease
612899,"Epilepsy, idiopathic generalized 8",Disease
DB12865,Etelcalcetide,Drug
DB05255,Ronacaleret,Drug
P41181,Aquaporin-2,Protein
125800,"Diabetes insipidus, nephrogenic, 2, autosomal",Disease
P41182,B-cell lymphoma 6 protein,Protein
P41208,Centrin-2,Protein
P41212,Transcription factor ETV6,Protein
616216,Thrombocytopenia 5,Disease
P41214,Eukaryotic translation initiation factor 2D,Protein
P41217,OX-2 membrane glycoprotein,Protein
P41218,Myeloid cell nuclear differentiation antigen,Protein
P41219,Peripherin,Protein
P41220,Regulator of G-protein signaling 2,Protein
P41221,Protein Wnt-5a,Protein
180700,"Robinow syndrome, autosomal dominant 1",Disease
P41222,Prostaglandin-H2 D-isomerase,Protein
P41223,Protein BUD31 homolog,Protein
P41225,Transcription factor SOX-3,Protein
312000,Panhypopituitarism X-linked,Disease
300123,"Intellectual developmental disorder, X-linked, with isolated growth hormone deficiency",Disease
300833,"46,XX sex reversal 3",Disease
307700,"Hypoparathyroidism, X-linked",Disease
P41226,Ubiquitin-like modifier-activating enzyme 7,Protein
P41227,N-alpha-acetyltransferase 10,Protein
300855,N-terminal acetyltransferase deficiency,Disease
309800,"Microphthalmia, syndromic, 1",Disease
P41229,Lysine-specific demethylase 5C demethylase 5C),Protein
300534,"Intellectual developmental disorder, X-linked, syndromic, Claes-Jensen type",Disease
P41231,P2Y purinoceptor 2,Protein
P41235,Hepatocyte nuclear factor 4-alpha,Protein
125850,Maturity-onset diabetes of the young 1,Disease
616026,Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young,Disease
P41236,Protein phosphatase inhibitor 2,Protein
P41238,C->U-editing enzyme APOBEC-1) deaminase 1),Protein
P41240,Tyrosine-protein kinase CSK,Protein
P41247,Patatin-like phospholipase domain-containing protein 4,Protein
P41250,Glycine--tRNA ligase,Protein
601472,"Charcot-Marie-Tooth disease, axonal, 2D",Disease
600794,"Neuronopathy, distal hereditary motor, autosomal dominant 5",Disease
619042,"Spinal muscular atrophy, infantile, James type",Disease
P41252,"Isoleucine--tRNA ligase, cytoplasmic",Protein
617093,"Growth retardation, impaired intellectual development, hypotonia, and hepatopathy",Disease
P41271,Neuroblastoma suppressor of tumorigenicity 1,Protein
P41273,Tumor necrosis factor ligand superfamily member 9,Protein
P41279,Mitogen-activated protein kinase kinase kinase 8,Protein
P41439,Folate receptor gamma,Protein
P41440,Reduced folate transporter,Protein
601775,"Megaloblastic anemia, folate-responsive",Disease
620603,"Immunodeficiency 114, folate-responsive",Disease
DB11256,Levomefolic acid,Drug
P41567,Eukaryotic translation initiation factor 1,Protein
P41586,Pituitary adenylate cyclase-activating polypeptide type I receptor,Protein
P41587,Vasoactive intestinal polypeptide receptor 2,Protein
P41594,Metabotropic glutamate receptor 5,Protein
P41595,5-hydroxytryptamine receptor 2B,Protein
DB05607,PRX-08066,Drug
P41597,C-C chemokine receptor type 2,Protein
219600,Polycystic lung disease,Disease
DB11758,Cenicriviroc,Drug
P41732,Tetraspanin-7,Protein
300210,"Intellectual developmental disorder, X-linked 58",Disease
P41743,Protein kinase C iota type,Protein
P41968,Melanocortin receptor 3,Protein
P41970,ETS domain-containing protein Elk-3,Protein
P42025,Beta-centractin,Protein
P42081,T-lymphocyte activation antigen CD86,Protein
P42126,"Enoyl-CoA delta isomerase 1, mitochondrial,Delta-enoyl-CoA isomerase)",Protein
P42127,Agouti-signaling protein,Protein
620195,Obesity and hypopigmentation,Disease
P42166,"Lamina-associated polypeptide 2, isoform alpha [Cleaved into: Thymopoietin; Thymopentin]",Protein
P42167,"Lamina-associated polypeptide 2, isoforms beta/gamma [Cleaved into: Thymopoietin; Thymopentin]",Protein
P42224,Signal transducer and activator of transcription 1-alpha/beta,Protein
613796,Immunodeficiency 31B,Disease
614892,Immunodeficiency 31A,Disease
614162,Immunodeficiency 31C,Disease
P42226,Signal transducer and activator of transcription 6,Protein
620532,"Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",Disease
P42229,Signal transducer and activator of transcription 5A,Protein
P42261,Glutamate receptor 1,Protein
619927,"Intellectual developmental disorder, autosomal dominant 67",Disease
619931,"Intellectual developmental disorder, autosomal recessive 76",Disease
P42262,Glutamate receptor 2,Protein
618917,Neurodevelopmental disorder with language impairment and behavioral abnormalities,Disease
P42263,Glutamate receptor 3,Protein
300699,"Intellectual developmental disorder, X-linked, syndromic, Wu type",Disease
P42285,Exosome RNA helicase MTR4,Protein
P42330,Aldo-keto reductase family 1 member C3,Protein
DB01561,Androstanedione,Drug
P42331,Rho GTPase-activating protein 25,Protein
P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Protein
602501,Megalencephaly-capillary malformation-polymicrogyria syndrome,Disease
612918,"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi",Disease
615108,Cowden syndrome 5,Disease
613089,CLAPO syndrome,Disease
155500,Macrodactyly,Disease
619538,Cerebral cavernous malformations 4,Disease
606773,Hemifacial myohyperplasia,Disease
P42338,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Protein
P42345,Serine/threonine-protein kinase mTOR,Protein
616638,Smith-Kingsmore syndrome,Disease
607341,Focal cortical dysplasia 2,Disease
DB11962,GSK-1059615,Drug
DB04974,Rimiducid,Drug
P42356,Phosphatidylinositol 4-kinase alpha,Protein
616531,"Neurodevelopmental disorder with spasticity, hypomyelinating leukodystrophy, and brain abnormalities",Disease
619708,Gastrointestinal defects and immunodeficiency syndrome 2,Disease
619621,"Spastic paraplegia 84, autosomal recessive",Disease
P42566,Epidermal growth factor receptor substrate 15,Protein
P42568,Protein AF-9,Protein
P42574,Caspase-3 [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12],Protein
DB13048,PAC-1,Drug
DB12709,Tributyrin,Drug
P42575,Caspase-2 [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12],Protein
620653,"Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly",Disease
P42658,A-type potassium channel modulatory protein DPP6,Protein
612956,Familial paroxysmal ventricular fibrillation 2,Disease
616311,"Intellectual developmental disorder, autosomal dominant 33",Disease
P42677,Small ribosomal subunit protein eS27,Protein
617409,Diamond-Blackfan anemia 17,Disease
P42679,Megakaryocyte-associated tyrosine-protein kinase,Protein
P42680,Tyrosine-protein kinase Tec,Protein
P42681,Tyrosine-protein kinase TXK,Protein
P42684,Tyrosine-protein kinase ABL2,Protein
P42685,Tyrosine-protein kinase FRK,Protein
P42694,Probable helicase with zinc finger domain,Protein
P42695,Condensin-2 complex subunit D3,Protein
617984,"Microcephaly 22, primary, autosomal recessive",Disease
P42701,Interleukin-12 receptor subunit beta-1,Protein
614891,Immunodeficiency 30,Disease
P42702,Leukemia inhibitory factor receptor,Protein
601559,Stuve-Wiedemann syndrome 1,Disease
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",Protein
220111,"Mitochondrial complex IV deficiency, nuclear type 5",Disease
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",Protein
P42766,Large ribosomal subunit protein uL29,Protein
618312,Diamond-Blackfan anemia 19,Disease
P42768,Actin nucleation-promoting factor WAS,Protein
301000,Wiskott-Aldrich syndrome,Disease
313900,Thrombocytopenia 1,Disease
300299,"Neutropenia, severe congenital, X-linked",Disease
P42771,Cyclin-dependent kinase inhibitor 2A,Protein
155601,"Melanoma, cutaneous malignant 2",Disease
606719,Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome,Disease
155755,Melanoma-astrocytoma syndrome,Disease
P42772,Cyclin-dependent kinase 4 inhibitor B,Protein
P42773,Cyclin-dependent kinase 4 inhibitor C,Protein
P42785,Lysosomal Pro-X carboxypeptidase,Protein
P42830,C-X-C motif chemokine 5) [Cleaved into: ENA-78; ENA-78],Protein
P42857,Neuronal vesicle trafficking-associated protein 1,Protein
P42858,"Huntingtin [Cleaved into: Huntingtin, myristoylated N-terminal fragment]",Protein
143100,Huntington disease,Disease
617435,Lopes-Maciel-Rodan syndrome,Disease
P42892,Endothelin-converting enzyme 1,Protein
613870,"Hirschsprung disease, cardiac defects, and autonomic dysfunction",Disease
P42898,Methylenetetrahydrofolate reductase,Protein
236250,Homocystinuria due to deficiency of N,Disease
P43003,Excitatory amino acid transporter 1,Protein
612656,Episodic ataxia 6,Disease
P43004,Excitatory amino acid transporter 2,Protein
617105,Developmental and epileptic encephalopathy 41,Disease
P43005,Excitatory amino acid transporter 3,Protein
222730,Dicarboxylic aminoaciduria,Disease
615232,Schizophrenia 18,Disease
DB00230,Pregabalin,Drug
P43007,Neutral amino acid transporter A,Protein
616657,"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly",Disease
P43026,Growth/differentiation factor 5,Protein
200700,Acromesomelic dysplasia 2A,Disease
201250,Acromesomelic dysplasia 2C,Disease
113100,Brachydactyly C,Disease
228900,Acromesomelic dysplasia 2B,Disease
615298,"Symphalangism, proximal 1B",Disease
610017,Multiple synostoses syndrome 2,Disease
612400,Osteoarthritis 5,Disease
615072,"Brachydactyly A1, C",Disease
P43034,Platelet-activating factor acetylhydrolase IB subunit beta,Protein
607432,Lissencephaly 1,Disease
247200,Miller-Dieker lissencephaly syndrome,Disease
P43080,Guanylyl cyclase-activating protein 1,Protein
602093,Cone dystrophy 3,Disease
P43088,Prostaglandin F2-alpha receptor,Protein
DB01160,Dinoprost tromethamine,Drug
DB00654,Latanoprost,Drug
DB00287,Travoprost,Drug
P43115,Prostaglandin E2 receptor EP3 subtype,Protein
DB08964,Gemeprost,Drug
DB09211,Limaprost,Drug
P43119,Prostacyclin receptor,Protein
DB01240,Epoprostenol,Drug
P43121,Cell surface glycoprotein MUC18,Protein
P43146,Netrin receptor DCC,Protein
157600,Mirror movements 1,Disease
617542,"Gaze palsy, familial horizontal, with progressive scoliosis, 2, with impaired intellectual development",Disease
P43155,Carnitine O-acetyltransferase,Protein
617917,Neurodegeneration with brain iron accumulation 8,Disease
P43166,Carbonic anhydrase 7,Protein
P43220,Glucagon-like peptide 1 receptor,Protein
DB09043,Albiglutide,Drug
DB09045,Dulaglutide,Drug
DB15650,Efpeglenatide,Drug
DB00040,Glucagon,Drug
DB16697,Glutazumab,Drug
DB09265,Lixisenatide,Drug
DB14027,Taspoglutide,Drug
P43234,Cathepsin O,Protein
P43235,Cathepsin K,Protein
265800,Pycnodysostosis,Disease
DB12239,Balicatib,Drug
DB15599,MIV-711,Drug
DB06367,Relacatib,Drug
P43243,Matrin-3,Protein
606070,Amyotrophic lateral sclerosis 21,Disease
P43246,DNA mismatch repair protein Msh2,Protein
120435,Lynch syndrome 1,Disease
619096,Mismatch repair cancer syndrome 2,Disease
P43250,G protein-coupled receptor kinase 6,Protein
P43251,Biotinidase,Protein
253260,Biotinidase deficiency,Disease
P43268,ETS translocation variant 4,Protein
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Protein
P43307,Translocon-associated protein subunit alpha,Protein
P43320,Beta-crystallin B2,Protein
601547,"Cataract 3, multiple types",Disease
P43351,DNA repair protein RAD52 homolog,Protein
P43353,Aldehyde dehydrogenase family 3 member B1,Protein
P43354,Nuclear receptor subfamily 4 group A member 2,Protein
619911,Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism,Disease
P43355,Melanoma-associated antigen 1,Protein
P43356,Melanoma-associated antigen 2,Protein
P43357,Melanoma-associated antigen 3,Protein
P43358,Melanoma-associated antigen 4,Protein
P43360,Melanoma-associated antigen 6,Protein
P43361,Melanoma-associated antigen 8,Protein
P43364,Melanoma-associated antigen 11,Protein
P43365,Melanoma-associated antigen 12,Protein
P43378,Tyrosine-protein phosphatase non-receptor type 9,Protein
P43403,Tyrosine-protein kinase ZAP-70,Protein
269840,Immunodeficiency 48,Disease
617006,"Autoimmune disease, multisystem, infantile-onset, 2",Disease
P43405,Tyrosine-protein kinase SYK,Protein
619381,Immunodeficiency 82 with systemic inflammation,Disease
DB12121,Entospletinib,Drug
DB07159,Tamatinib,Drug
P43487,Ran-specific GTPase-activating protein,Protein
P43489,Tumor necrosis factor receptor superfamily member 4,Protein
615593,Immunodeficiency 16,Disease
P43490,Nicotinamide phosphoribosyltransferase,Protein
DB12980,CHS-828,Drug
DB12731,Daporinad,Drug
DB05217,GMX1777,Drug
P43626,Killer cell immunoglobulin-like receptor 2DL1,Protein
P43628,Killer cell immunoglobulin-like receptor 2DL3,Protein
P43629,Killer cell immunoglobulin-like receptor 3DL1,Protein
P43630,Killer cell immunoglobulin-like receptor 3DL2,Protein
P43631,Killer cell immunoglobulin-like receptor 2DS2,Protein
P43632,Killer cell immunoglobulin-like receptor 2DS4,Protein
P43652,Afamin,Protein
P43657,Lysophosphatidic acid receptor 6,Protein
278150,Woolly hair autosomal recessive 1 with or without hypotrichosis,Disease
P43681,Neuronal acetylcholine receptor subunit alpha-4,Protein
600513,"Epilepsy, nocturnal frontal lobe, 1",Disease
P43686,26S proteasome regulatory subunit 6B,Protein
P43694,Transcription factor GATA-4,Protein
607941,Atrial septal defect 2,Disease
614429,Ventricular septal defect 1,Disease
614430,Atrioventricular septal defect 4,Disease
615542,Testicular anomalies with or without congenital heart disease,Disease
P43699,Homeobox protein Nkx-2.1,Protein
118700,"Chorea, hereditary benign",Disease
610978,Choreoathetosis and congenital hypothyroidism with or without pulmonary dysfunction,Disease
188550,"Thyroid cancer, non-medullary, 1",Disease
P43897,"Elongation factor Ts, mitochondrial",Protein
610505,Combined oxidative phosphorylation deficiency 3,Disease
P45378,"Troponin T, fast skeletal muscle",Protein
618435,"Arthrogryposis, distal, 2B2",Disease
P45379,"Troponin T, cardiac muscle",Protein
115195,"Cardiomyopathy, familial hypertrophic, 2",Disease
601494,"Cardiomyopathy, dilated, 1D",Disease
612422,"Cardiomyopathy, familial restrictive 3",Disease
P45381,Aspartoacylase,Protein
271900,Canavan disease,Disease
P45452,Collagenase 3,Protein
602111,"Spondyloepimetaphyseal dysplasia, Missouri type",Disease
250400,"Metaphyseal dysplasia, Spahr type",Disease
P45844,ATP-binding cassette sub-family G member 1,Protein
P45877,Peptidyl-prolyl cis-trans isomerase C,Protein
P45880,Voltage-dependent anion-selective channel protein 2,Protein
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Protein
610006,Short/branched-chain acyl-CoA dehydrogenase deficiency,Disease
P45973,Chromobox protein homolog 5,Protein
P45974,Ubiquitin carboxyl-terminal hydrolase 5,Protein
P45983,Mitogen-activated protein kinase 8,Protein
P45984,Mitogen-activated protein kinase 9,Protein
DB15624,Halicin,Drug
P45985,Dual specificity mitogen-activated protein kinase kinase 4,Protein
P46013,Proliferation marker protein Ki-67,Protein
P46019,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",Protein
306000,Glycogen storage disease 9A,Disease
P46020,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",Protein
300559,Glycogen storage disease 9D,Disease
P46059,Solute carrier family 15 member 1/peptide cotransporter),Protein
DB00274,Cefmetazole,Drug
DB00493,Cefotaxime,Drug
DB01415,Ceftibuten,Drug
DB01332,Ceftizoxime,Drug
DB01112,Cefuroxime,Drug
DB01255,Lisdexamfetamine,Drug
DB00447,Loracarbef,Drug
DB00713,Oxacillin,Drug
DB00577,Valaciclovir,Drug
P46060,Ran GTPase-activating protein 1,Protein
P46063,ATP-dependent DNA helicase Q1,Protein
620370,RECON progeroid syndrome,Disease
P46087,28S rRNA-C)-methyltransferase,Protein
P46089,G-protein coupled receptor 3,Protein
P46091,Chemerin-like receptor 2,Protein
P46092,C-C chemokine receptor type 10,Protein
P46093,G-protein coupled receptor 4,Protein
P46094,Chemokine XC receptor 1,Protein
P46098,5-hydroxytryptamine receptor 3A,Protein
DB11699,Tropisetron,Drug
P46100,Transcriptional regulator ATRX,Protein
301040,"Alpha-thalassemia/impaired intellectual development syndrome, X-linked",Disease
309580,"Intellectual disability-hypotonic facies syndrome, X-linked, 1",Disease
300448,Alpha-thalassemia myelodysplasia syndrome,Disease
P46108,Adapter molecule crk,Protein
P46109,Crk-like protein,Protein
P46199,"Translation initiation factor IF-2, mitochondrial))",Protein
P46379,Large proline-rich protein BAG6,Protein
P46439,Glutathione S-transferase Mu 5,Protein
P46459,Vesicle-fusing ATPase,Protein
619340,Developmental and epileptic encephalopathy 96,Disease
P46527,Cyclin-dependent kinase inhibitor 1B,Protein
610755,Multiple endocrine neoplasia 4,Disease
P46531,Neurogenic locus notch homolog protein 1 [Cleaved into: Notch 1 extracellular truncation; Notch 1 intracellular domain],Protein
109730,Aortic valve disease 1,Disease
616028,Adams-Oliver syndrome 5,Disease
P46597,Acetylserotonin O-methyltransferase,Protein
P46663,B1 bradykinin receptor,Protein
P46695,Radiation-inducible immediate-early gene IEX-1,Protein
P46721,Solute carrier organic anion transporter family member 1A2,Protein
P46734,Dual specificity mitogen-activated protein kinase kinase 3,Protein
P46736,Lys-63-specific deubiquitinase BRCC36,Protein
P46776,Large ribosomal subunit protein uL15,Protein
P46777,Large ribosomal subunit protein uL18,Protein
612561,Diamond-Blackfan anemia 6,Disease
P46778,Large ribosomal subunit protein eL21,Protein
615885,Hypotrichosis 12,Disease
P46779,Large ribosomal subunit protein eL28,Protein
P46781,Small ribosomal subunit protein uS4,Protein
P46782,"Small ribosomal subunit protein uS7 [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed]",Protein
P46783,Small ribosomal subunit protein eS10,Protein
613308,Diamond-Blackfan anemia 9,Disease
P46821,Microtubule-associated protein 1B [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1],Protein
618918,Periventricular nodular heterotopia 9,Disease
619808,"Deafness, autosomal dominant, 83",Disease
P46926,Glucosamine-6-phosphate isomerase 1,Protein
P46934,E3 ubiquitin-protein ligase NEDD4,Protein
P46937,Transcriptional coactivator YAP1,Protein
120433,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development",Disease
P46939,Utrophin,Protein
P46940,Ras GTPase-activating-like protein IQGAP1,Protein
P46952,"3-hydroxyanthranilate 3,4-dioxygenase",Protein
617660,"Vertebral, cardiac, renal, and limb defects syndrome 1",Disease
P46976,Glycogenin-1,Protein
613507,Glycogen storage disease 15,Disease
616199,Polyglucosan body myopathy 2,Disease
P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,Protein
615596,"Congenital disorder of glycosylation 1W, autosomal recessive",Disease
619714,"Congenital disorder of glycosylation 1W, autosomal dominant",Disease
P47211,Galanin receptor type 1,Protein
P47224,Guanine nucleotide exchange factor MSS4,Protein
P47710,Alpha-S1-casein [Cleaved into: Casoxin-D],Protein
P47712,Cytosolic phospholipase A2 [Includes: Phospholipase A2; Lysophospholipase],Protein
618372,"Gastrointestinal ulceration, recurrent, with dysfunctional platelets",Disease
DB00578,Carbenicillin,Drug
DB05029,Lancovutide,Drug
P47736,Rap1 GTPase-activating protein 1,Protein
P47755,F-actin-capping protein subunit alpha-2,Protein
P47756,F-actin-capping protein subunit beta,Protein
P47804,RPE-retinal G protein-coupled receptor,Protein
613769,Retinitis pigmentosa 44,Disease
P47813,"Eukaryotic translation initiation factor 1A, X-chromosomal",Protein
P47869,Gamma-aminobutyric acid receptor subunit alpha-2 receptor subunit alpha-2),Protein
618557,Developmental and epileptic encephalopathy 78,Disease
P47870,Gamma-aminobutyric acid receptor subunit beta-2 receptor subunit beta-2),Protein
617829,"Epileptic encephalopathy, infantile or early childhood, 2",Disease
P47871,Glucagon receptor,Protein
619290,Mahvash disease,Disease
DB15226,Dasiglucagon,Drug
P47872,Secretin receptor,Protein
DB09532,Secretin human,Drug
P47895,Retinaldehyde dehydrogenase 3,Protein
615113,"Microphthalmia, isolated, 8",Disease
P47897,Glutamine--tRNA ligase,Protein
615760,"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy",Disease
P47898,5-hydroxytryptamine receptor 5A,Protein
P47900,P2Y purinoceptor 1,Protein
P47901,Vasopressin V1b receptor,Protein
P47902,Homeobox protein CDX-1,Protein
P47914,Large ribosomal subunit protein eL29,Protein
P47928,DNA-binding protein inhibitor ID-4,Protein
P47929,Galectin-7,Protein
P47974,mRNA decay activator protein ZFP36L2,Protein
620154,Oocyte/zygote/embryo maturation arrest 13,Disease
P47985,"Cytochrome b-c1 complex subunit Rieske, mitochondrial [Cleaved into: Cytochrome b-c1 complex subunit 9]",Protein
618775,"Mitochondrial complex III deficiency, nuclear type 10",Disease
P47989,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase; Xanthine oxidase],Protein
278300,Xanthinuria 1,Disease
DB00437,Allopurinol,Drug
DB00746,Deferoxamine,Drug
DB03516,Eniluracil,Drug
DB04335,Inosine,Drug
DB00336,Nitrofural,Drug
DB06478,Porfiromycin,Drug
DB00339,Pyrazinamide,Drug
P47992,Lymphotactin,Protein
P48023,"Tumor necrosis factor ligand superfamily member 6 [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form; ADAM10-processed FasL form; FasL intracellular domain]",Protein
P48029,Sodium- and chloride-dependent creatine transporter 1,Protein
300352,Cerebral creatine deficiency syndrome 1,Disease
P48039,Melatonin receptor type 1A,Protein
P48047,"ATP synthase subunit O, mitochondrial",Protein
620359,"Mitochondrial complex V deficiency, nuclear type 7",Disease
P48048,ATP-sensitive inward rectifier potassium channel 1 channel Kir1.1),Protein
241200,"Bartter syndrome 2, antenatal",Disease
DB01382,Glymidine,Drug
P48050,Inward rectifier potassium channel 4 channel Kir2.3),Protein
P48051,G protein-activated inward rectifier potassium channel 2 channel Kir3.2),Protein
614098,Keppen-Lubinsky syndrome,Disease
DB08954,Ifenprodil,Drug
P48052,Carboxypeptidase A2,Protein
P48058,Glutamate receptor 4,Protein
617864,Neurodevelopmental disorder with or without seizures and gait abnormalities,Disease
P48059,LIM and senescent cell antigen-like-containing domain protein 1,Protein
P48061,Stromal cell-derived factor 1 [Cleaved into: SDF-1-beta; SDF-1-alpha],Protein
P48065,Sodium- and chloride-dependent betaine transporter/Cl betaine/GABA transporter),Protein
P48066,Sodium- and chloride-dependent GABA transporter 3,Protein
P48067,Sodium- and chloride-dependent glycine transporter 1,Protein
617301,Glycine encephalopathy with normal serum glycine,Disease
P48145,Neuropeptides B/W receptor type 1,Protein
P48146,Neuropeptides B/W receptor type 2,Protein
P48147,Prolyl endopeptidase,Protein
P48163,NADP-dependent malic enzyme,Protein
P48165,Gap junction alpha-8 protein,Protein
116200,"Cataract 1, multiple types",Disease
P48167,Glycine receptor subunit beta,Protein
614619,Hyperekplexia 2,Disease
P48169,Gamma-aminobutyric acid receptor subunit alpha-4 receptor subunit alpha-4),Protein
P48200,Iron-responsive element-binding protein 2,Protein
618451,"Neurodegeneration, early-onset, with choreoathetoid movements and microcytic anemia",Disease
